Frame Number,Start Sample No.,End Sample No.,dB ,Zero Crossing Number,Standard Deviation,block,vertical line,horizontal line,line with angles,curve,oscillation,High Freq,Middle Freq,Low Freq
252,128513,129024,-54.189,73,4.6128,0,0,0,0,1,0,0,0,1
253,129025,129536,-55.131,96,3.445,0,0,0,1,1,0,0,0,1
254,129537,130048,-52.752,97,2.9957,0,0,0,1,1,0,0,0,1
255,130049,130560,-54.525,80,6.1946,0,0,0,1,1,0,0,0,1
256,130561,131072,-56.817,76,4.8677,0,0,0,0,1,0,0,0,1
257,131073,131584,-55.024,68,7.2704,0,0,0,0,1,0,0,0,1
258,131585,132096,-53.819,62,8.4785,0,0,0,0,1,0,0,0,1
259,132097,132608,-53.969,48,9.103,0,0,0,0,1,0,0,0,1
260,132609,133120,-54.649,68,6.1335,0,0,0,0,1,0,0,0,1
261,133121,133632,-49.019,99,2.1743,0,0,0,0,1,0,0,0,1
262,133633,134144,-49.351,105,0.98964,0,0,0,0,1,0,0,0,1
263,134145,134656,-47.26,100,1.0535,0,1,0,0,1,0,1,0,1
264,134657,135168,-53.134,89,2.9135,0,1,0,0,1,0,1,0,0
265,135169,135680,-54.086,66,6.1477,0,1,0,0,1,0,1,0,0
266,135681,136192,-54.637,71,6.0489,0,0,0,0,1,0,0,0,0
267,136193,136704,-52.7,81,4.7597,0,0,0,0,1,0,0,0,0
268,136705,137216,-50.453,31,11.994,0,0,0,0,1,0,0,0,0
269,137217,137728,-55.216,54,8.8075,0,0,0,0,1,0,0,0,0
270,137729,138240,-56.899,58,8.1434,0,0,0,0,1,0,0,0,0
271,138241,138752,-56.182,45,9.2499,0,0,0,0,0,0,0,0,0
272,138753,139264,-57.4,61,5.9536,0,0,0,0,0,0,0,0,0
273,139265,139776,-52.811,34,10.96,0,0,0,0,0,0,0,0,0
274,139777,140288,-54.171,36,11.472,1,0,0,0,0,0,0,0,1
275,140289,140800,-53.358,35,11.322,1,0,0,0,0,0,0,0,1
276,140801,141312,-55.607,65,6.0888,1,0,0,0,0,0,0,0,1
277,141313,141824,-54.681,99,2.9792,1,0,0,0,0,0,0,0,1
278,141825,142336,-53.387,110,2.5887,1,0,0,0,0,0,0,0,1
279,142337,142848,-50.374,109,2.2571,1,0,0,0,0,0,0,0,1
280,142849,143360,-54.965,92,3.3654,1,0,0,0,0,0,0,0,1
281,143361,143872,-54.446,98,3.705,1,0,0,0,0,0,0,0,1
282,143873,144384,-55.693,61,7.5128,1,0,0,0,0,0,0,0,1
283,144385,144896,-56.463,87,4.7686,0,0,0,0,0,0,0,0,0
284,144897,145408,-54.555,91,3.1659,0,0,1,0,0,0,0,0,1
285,145409,145920,-52.647,95,3.9638,0,0,1,0,0,0,0,0,1
286,145921,146432,-55.896,63,7.3528,0,0,1,0,0,0,0,0,1
287,146433,146944,-55.51,48,9.8127,0,0,1,0,0,0,0,0,1
288,146945,147456,-54.687,49,10.137,1,0,0,0,0,0,0,0,1
289,147457,147968,-55.165,67,7.0925,1,0,0,0,0,0,0,0,1
290,147969,148480,-55.053,40,10.041,1,0,0,0,0,0,0,0,1
291,148481,148992,-53.147,37,11.495,0,1,0,0,0,0,0,1,0
292,148993,149504,-54.264,66,8.4761,0,1,0,0,0,0,0,1,0
293,149505,150016,-55.881,47,10.174,0,1,0,0,0,0,0,1,0
294,150017,150528,-52.657,23,12.775,0,1,0,0,0,0,0,1,0
295,150529,151040,-54.506,36,11.086,0,0,0,0,0,0,0,0,0
296,151041,151552,-51.606,27,11.836,0,0,0,0,0,0,0,0,0
297,151553,152064,-55.362,51,8.7373,0,0,0,0,0,0,0,0,0
298,152065,152576,-55.515,42,9.2352,0,0,0,0,0,0,0,0,0
299,152577,153088,-57.171,48,10.402,0,0,0,0,0,0,0,0,0
300,153089,153600,-54.876,47,8.8389,0,0,0,0,0,0,0,0,0
301,153601,154112,-54.297,36,11.765,0,0,0,0,0,0,0,0,0
302,154113,154624,-57.166,45,10.818,0,0,0,0,0,0,0,0,0
303,154625,155136,-53.361,33,11.705,0,0,0,0,0,0,0,0,0
304,155137,155648,-57.647,51,8.913,0,0,0,0,0,0,0,0,0
305,155649,156160,-54.925,33,10.921,0,0,0,0,0,0,0,0,0
306,156161,156672,-53.766,41,11.536,0,0,0,0,0,0,0,0,0
307,156673,157184,-57.515,46,9.1028,0,0,0,0,0,0,0,0,0
308,157185,157696,-56.824,66,7.0524,0,0,0,0,0,0,0,0,0
309,157697,158208,-55.392,45,10.103,0,0,0,1,0,0,0,0,1
310,158209,158720,-55.282,56,8.8085,0,0,0,1,0,0,0,0,1
311,158721,159232,-56.527,69,6.0651,0,0,0,1,0,0,0,0,1
312,159233,159744,-53.96,36,11.323,0,0,0,1,0,0,0,0,1
313,159745,160256,-55.63,47,8.9733,0,0,0,0,0,0,0,0,0
314,160257,160768,-56.225,50,8.6478,0,0,0,0,0,0,0,0,0
315,160769,161280,-56.553,51,8.6387,0,0,0,0,0,0,0,0,0
316,161281,161792,-58.636,59,7.7569,0,0,0,0,0,0,0,0,0
317,161793,162304,-57.012,50,7.7941,0,0,0,0,0,0,0,0,0
318,162305,162816,-54.475,43,10.173,0,1,0,0,0,0,0,1,0
319,162817,163328,-51.242,36,13.277,0,1,0,0,0,0,0,1,0
320,163329,163840,-54.906,57,9.1365,0,1,0,0,0,0,0,1,0
321,163841,164352,-52.943,47,9.7111,0,1,0,0,0,0,0,1,0
322,164353,164864,-55.583,65,7.1207,0,1,0,0,0,0,0,1,0
323,164865,165376,-54.505,49,8.1049,0,0,0,0,0,0,0,0,0
324,165377,165888,-50.778,35,11.735,0,0,0,0,0,0,0,0,0
325,165889,166400,-56.271,44,9.6836,0,0,0,0,0,0,0,0,0
326,166401,166912,-56.184,47,9.4,0,0,0,0,0,0,0,0,0
327,166913,167424,-54.61,43,10.07,0,1,0,0,0,0,1,0,1
328,167425,167936,-52.804,44,10.946,0,1,0,0,0,0,1,0,1
329,167937,168448,-54.741,89,3.7963,0,1,0,0,0,0,1,0,1
330,168449,168960,-55.994,60,7.1098,0,1,0,0,0,0,1,0,1
331,168961,169472,-53.099,50,10.535,0,1,0,0,0,0,1,0,1
332,169473,169984,-54.166,139,4.4919,0,1,0,0,0,0,1,0,1
333,169985,170496,-56.838,94,5.9649,0,1,0,0,0,0,1,0,0
334,170497,171008,-55.063,83,7.4749,0,1,0,0,0,0,1,0,0
335,171009,171520,-57.71,65,7.1504,0,1,0,0,0,0,1,0,0
336,171521,172032,-53.999,54,8.9099,0,1,0,0,0,0,1,0,0
337,172033,172544,-55.695,105,3.0884,0,1,0,0,0,0,1,0,0
338,172545,173056,-54.776,53,6.517,0,1,0,0,0,1,1,0,1
339,173057,173568,-55.528,70,6.0778,0,0,0,0,0,1,0,0,1
340,173569,174080,-50.764,105,2.5724,0,0,0,0,0,1,0,0,1
341,174081,174592,-54.241,98,2.9837,0,0,0,0,0,1,0,0,1
342,174593,175104,-55.41,76,5.105,0,0,0,0,0,1,0,0,1
343,175105,175616,-52.08,100,3.23,0,0,0,0,0,1,0,0,1
344,175617,176128,-54.864,59,7.4342,0,0,0,0,0,1,0,0,1
345,176129,176640,-51.513,81,5.0263,0,0,0,0,0,1,0,0,1
346,176641,177152,-57.193,94,3.5896,0,0,0,0,0,1,0,0,1
347,177153,177664,-52.987,85,3.8756,0,0,0,0,0,1,0,0,1
348,177665,178176,-50.303,106,1.6235,0,0,0,0,0,1,0,0,1
349,178177,178688,-54.745,81,5.5693,0,0,0,0,0,1,0,0,1
350,178689,179200,-53.994,64,7.213,0,0,0,0,0,1,0,0,1
351,179201,179712,-52.894,93,3.9452,0,0,0,0,0,1,0,0,1
352,179713,180224,-53.478,71,6.1272,0,0,0,0,0,1,0,0,1
353,180225,180736,-52.201,65,7.6434,0,0,0,0,0,1,0,0,1
354,180737,181248,-53.52,74,6.1744,0,0,0,0,0,1,0,0,1
355,181249,181760,-52.769,59,7.883,0,0,0,0,0,1,0,0,1
356,181761,182272,-52.046,59,7.9605,0,0,0,0,0,1,0,0,1
357,182273,182784,-47.458,103,2.1294,0,0,0,0,0,1,0,0,1
358,182785,183296,-53.807,92,3.4515,0,0,0,0,0,1,0,0,1
359,183297,183808,-54.017,71,6.9091,0,0,0,0,0,1,0,0,1
360,183809,184320,-53.821,56,8.5675,0,0,0,0,0,1,0,0,1
